Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,13/11/2016,Delfín,Universidad Católica (Quito),3,1,H
EC1,17/11/2016,El Nacional,Barcelona SC,0,1,A
EC1,19/11/2016,Guayaquil City FC,Deportivo Cuenca,2,1,H
EC1,19/11/2016,Emelec,Liga de Quito,3,0,H
EC1,19/11/2016,Independiente del Valle,Delfín,2,1,H
EC1,20/11/2016,El Nacional,Universidad Católica (Quito),1,2,A
EC1,20/11/2016,Mushuc Runa,Aucas,2,0,H
EC1,20/11/2016,Fuerza Amarilla,Barcelona SC,1,1,D
EC1,24/11/2016,Barcelona SC,Independiente del Valle,1,0,H
EC1,24/11/2016,Deportivo Cuenca,Emelec,2,2,D
EC1,26/11/2016,Delfín,Fuerza Amarilla,0,1,A
EC1,26/11/2016,Liga de Quito,Guayaquil City FC,1,0,H
EC1,27/11/2016,Deportivo Cuenca,Mushuc Runa,3,1,H
EC1,27/11/2016,Aucas,El Nacional,0,0,D
EC1,27/11/2016,Universidad Católica (Quito),Independiente del Valle,3,1,H
EC1,27/11/2016,Barcelona SC,Emelec,1,2,A
EC1,04/12/2016,Aucas,Deportivo Cuenca,1,0,H
EC1,04/12/2016,El Nacional,Liga de Quito,5,0,H
EC1,04/12/2016,Emelec,Universidad Católica (Quito),1,1,D
EC1,04/12/2016,Fuerza Amarilla,Independiente del Valle,1,2,A
EC1,04/12/2016,Guayaquil City FC,Delfín,0,1,A
EC1,04/12/2016,Mushuc Runa,Barcelona SC,2,4,A
EC1,10/12/2016,Barcelona SC,Aucas,3,3,D
EC1,10/12/2016,Delfín,Emelec,4,3,H
EC1,10/12/2016,Deportivo Cuenca,El Nacional,1,1,D
EC1,10/12/2016,Independiente del Valle,Guayaquil City FC,3,2,H
EC1,10/12/2016,Liga de Quito,Mushuc Runa,1,2,A
EC1,10/12/2016,Universidad Católica (Quito),Fuerza Amarilla,2,2,D
